Année,Classement,Temps,Nom,Nationnalité,Sexe,Catégory,Index
2024,1,19:54:23,Vincent BOUILLARD,France,Men,20-34,904
2024,2,20:22:45,Baptiste CHASSAGNE,France,Men,20-34,887
2024,3,20:26:22,Joaquin LOPEZ,Ecuador,Men,20-34,880
2024,4,20:31:54,Hannes NAMBERGER,Germany,Men,35-39,913
2024,5,20:57:48,Ludovic POMMERET,France,Men,45-49,891
2024,6,21:12:12,Arthur JOYEUX-BOUILLON,France,Men,20-34,865
2024,7,21:33:16,Cody LIND,United States,Men,20-34,841
2024,8,21:41:01,Manuel ANGUITA,Spain,Men,20-34,879
2024,9,21:45:16,Gautier BONNECARRÈRE,France,Men,20-34,851
2024,10,21:45:18,Yannick NOEL,France,Men,35-39,882
2024,11,21:52:09,Josh WADE,United Kingdom,Men,20-34,866
2024,12,22:07:48,Thibaut BARONIAN,France,Men,35-39,905
2024,13,22:09:31,Katie SCHIDE,United States,Women,20-34,831
2024,14,22:33:07,Aubin FERRARI,France,Men,20-34,859
2024,15,22:47:34,Kamil LESNIAK,Poland,Men,20-34,844
2024,16,22:48:37,Ruth CROFT,New Zealand,Women,35-39,801
2024,17,22:58:01,Jonathan MONCANY,France,Men,20-34,815
2024,18,23:11:15,Marianne HOGAN,Canada,Women,20-34,779
2024,19,23:11:39,Juuso SIMPANEN,Finland,Men,20-34,817
2024,20,23:12:54,Guillaume DENEFFE,Belgium,Men,40-44,823
2024,21,23:18:51,Alexis SEVENNEC,France,Men,35-39,819
2024,22,23:22:52,Marian PRIADKA,Slovakia,Men,35-39,840
2024,23,23:26:04,Canyon WOODWARD,United States,Men,20-34,807
2024,24,23:38:16,Andy SYMONDS,United Kingdom,Men,40-44,838
2024,25,23:40:28,Jack CHAMBERLAIN,United Kingdom,Men,20-34,776
2024,26,23:42:19,Jonathan SCHMID,Switzerland,Men,20-34,825
2024,27,23:51:17,Canhua LUO,China,Men,20-34,858
2024,28,23:52:54,Petr HENEK,Czech Republic,Men,35-39,796
2024,29,23:53:30,Edgar DIAS,France,Men,35-39,796
2024,30,23:57:49,Jhon BARRERA,Colombia,Men,35-39,834
2024,31,24:03:33,Guillaume BERTHIER,France,Men,35-39,787
2024,32,24:12:00,Matis LERAY,France,Men,20-34,809
2024,33,24:15:47,Jean-Marie DIVERREZ,France,Men,45-49,775
2024,34,24:16:00,Hippolyte PESCI,France,Men,20-34,779
2024,35,24:16:33,Lin CHEN,China,Women,20-34,741
2024,36,24:18:00,Ethan PETERS,Canada,Men,20-34,795
2024,37,24:21:15,Jacques GUIVARCH,France,Men,40-44,776
2024,38,24:22:21,Pablo VILLA,Spain,Men,35-39,871
2024,39,24:35:10,Guillaume BEAUXIS,France,Men,35-39,818
2024,40,24:35:54,Blandine L HIRONDEL,France,Women,20-34,798
2024,41,24:36:05,Marco BONFANTE,Italy,Men,35-39,781
