Race UID,year,Race Title,N Participants,Race Category,Distance,Elevation Gain,Mean Finish Time,Winning Time,Last Time,N DNF,N Women,N Countries
10001,2017,Caravaca Trail Experience 2017 - Promo,292,-,12.0,400.0,2.0829,0.905,3.3806,0,142,1
10003,2017,Caravaca Trail Experience 2017 - Master,163,50K,35.2,2030.0,4.9722,3.1583,7.7214,0,26,3
10003,2018,Caravaca Trail Experience 2018 - Master,81,50K,34.5,1630.0,4.5411,3.3642,6.7181,0,10,2
10003,2019,Caravaca Trail Experience 2019 - MASTER,65,50K,34.6,1630.0,4.5033,3.2142,5.9633,0,8,2
10005,2017,The Red Leaves Trail Running Race 2017 - 25KM,53,20K,27.2,1660.0,6.3384,3.4475,9.395,0,20,1
10005,2018,The Red Leaves Trail Running Race 2018 - 29KM,44,20K,28.1,1750.0,5.5513,3.3089,7.8125,0,13,2
10007,2017,The Red Leaves Trail Running Race 2017 - 50km,63,50K,50.1,2240.0,9.7445,6.2078,11.6942,0,10,1
10007,2018,The Red Leaves Trail Running Race 2018 - 50km,50,50K,51.2,2690.0,10.1592,6.4325,11.8964,0,10,2
10009,2017,Grossglockner Ultra-Trail® 2017 - GGUT 110 - Mooserboden,14,100K,92.3,6510.0,24.8401,24.1489,25.6981,0,2,5
10011,2017,Grossglockner Ultra-Trail® 2017 - GGUT 110 - Rudolfshütte,47,100K,77.3,5700.0,20.1705,13.6697,22.5269,0,12,12
10011,2019,Grossglockner Ultra-Trail® 2019 - GGUT 110 Rudolfshütte,47,100K,77.3,5690.0,15.8918,11.6411,17.6306,0,4,11
10019,2017,ULTRATRAIL ARASUNU 2017 - ULTRATRAIL ARASUNU ,9,100K,134.6,2540.0,28.5117,0.0,31.2331,1,4,2
10019,2018,ULTRATRAIL ARASUNU 2018 - ULTRATRAIL ARASUNU ,7,100K,105.5,4970.0,27.9334,22.5125,32.2286,0,2,2
10021,2017,Andorra Ultra Trail Vallnord 2017 - Eufòria ,103,100M,233.0,20000.0,98.9451,68.8286,113.4189,0,5,14
10021,2018,Andorra Ultra Trail Vallnord 2018 - Eufòria ,124,100M,233.0,20000.0,98.5197,0.0,113.7839,48,13,18
10021,2019,Andorra Ultra Trail Vallnord 2019 - Eufòria ,130,100M,233.0,20000.0,98.178,0.0,111.4367,41,24,14
10023,2017,Trans Ural 2017 - TransUral,156,50K,116.4,3600.0,17.6179,10.4031,28.7714,0,26,4
10023,2018,Trans Ural 2.0 2018 - TransUral 2.0,172,50K,139.0,4980.0,19.3229,12.5639,30.2089,0,36,3
10023,2019,Trans Ural 2.0 2019 - TransUral 2.0,113,50K,152.4,2450.0,18.5989,12.0225,27.8931,0,25,3
10025,2018,Rebel Walker 2018 - Rebel Walker - solo,935,100K,98.9,4330.0,23.2504,0.0,31.9992,171,160,20
10025,2019,Rebel Walker 2019 - Rebel Walker - solo,805,100K,99.7,4440.0,23.8183,11.8592,31.8472,0,171,20
